"A1";"A4";"A6";"A7";"A9";"A10";"A11";"A12";"A14";"A15";"A16"
"a";"u";"q";"v";"t";"t";3;"f";100;6;"+"
"b";"y";"k";"v";"f";"f";0;"f";140;4;"-"
"a";"u";"c";"v";"t";"t";6;"t";0;1260;"+"
"b";"u";"w";"v";"f";"t";1;"t";100;3;"-"
"a";"u";"aa";"v";"f";"t";2;"t";320;1;"-"
"b";"u";"k";"v";"f";"f";0;"t";280;55;"-"
"b";"u";"i";"bb";"t";"t";15;"t";0;5000;"+"
"a";"u";"cc";"h";"t";"t";9;"t";181;0;"+"
"b";"y";"c";"v";"t";"f";0;"t";0;225;"-"
"b";"u";"k";"v";"t";"t";2;"t";120;5;"-"
"a";"u";"q";"v";"t";"t";5;"f";220;2503;"+"
"b";"y";"aa";"v";"f";"f";0;"t";320;0;"-"
"b";"y";"k";"v";"f";"f";0;"f";160;0;"-"
"b";"u";"c";"v";"f";"f";0;"t";136;1;"-"
"b";"u";"i";"bb";"f";"f";0;"t";232;200;"-"
"a";"u";"q";"h";"t";"t";2;"f";0;5000;"+"
"b";"u";"cc";"h";"t";"t";1;"t";88;2000;"+"
"a";"u";"c";"v";"t";"t";5;"t";140;5;"-"
"b";"y";"m";"bb";"t";"t";1;"t";280;2000;"+"
"a";"u";"aa";"v";"t";"t";3;"t";156;0;"+"
"a";"u";"q";"v";"t";"t";3;"t";0;0;"+"
"a";"y";"j";"j";"f";"f";0;"f";160;20;"-"
"a";"y";"aa";"v";"t";"f";0;"t";370;0;"+"
"a";"u";"i";"bb";"t";"f";0;"t";0;300;"+"
"b";"u";"c";"v";"f";"f";0;"f";0;0;"-"
"b";"u";"c";"v";"f";"f";0;"t";136;0;"-"
"b";"u";"k";"v";"t";"f";0;"f";160;0;"-"
"b";"u";"c";"bb";"t";"f";0;"t";160;0;"+"
"b";"u";"cc";"v";"f";"f";0;"t";0;501;"-"
"b";"u";"c";"v";"t";"t";3;"t";180;0;"-"
"a";"u";"j";"j";"t";"f";0;"t";100;27;"-"
"b";"u";"aa";"bb";"f";"f";0;"t";720;0;"-"
"b";"y";"cc";"v";"t";"t";2;"f";260;500;"+"
"b";"u";"e";"dd";"f";"f";0;"t";140;1110;"-"
"a";"u";"k";"h";"t";"f";0;"t";0;0;"+"
"a";"u";"k";"v";"t";"f";0;"t";0;0;"+"
"a";"y";"ff";"ff";"f";"f";0;"f";0;0;"-"
"b";"y";"k";"v";"t";"t";10;"t";320;0;"+"
"b";"y";"i";"v";"f";"f";0;"t";360;1000;"-"
"a";"u";"i";"bb";"t";"t";4;"f";80;0;"+"
"b";"u";"c";"v";"f";"f";0;"f";80;0;"-"
"b";"u";"x";"v";"t";"t";9;"f";60;396;"+"
"b";"y";"ff";"ff";"f";"f";0;"f";120;1;"-"
"b";"y";"j";"v";"f";"f";0;"f";140;184;"-"
"b";"y";"c";"v";"t";"f";0;"f";80;0;"-"
"b";"u";"q";"h";"f";"f";0;"t";220;251;"-"
"b";"u";"c";"v";"f";"t";2;"t";160;41;"-"
"a";"y";"ff";"ff";"f";"f";0;"f";0;0;"-"
"b";"u";"r";"n";"t";"t";9;"t";0;134;"+"
"a";"u";"d";"v";"f";"f";0;"f";272;0;"-"
"a";"u";"ff";"ff";"f";"t";2;"t";200;4;"-"
"b";"y";"ff";"ff";"f";"f";0;"t";180;1;"-"
"b";"u";"cc";"v";"t";"t";7;"f";0;7059;"+"
"b";"u";"m";"v";"t";"t";1;"f";260;800;"+"
"a";"u";"x";"v";"t";"t";2;"t";519;1704;"+"
"b";"u";"ff";"ff";"t";"t";5;"f";0;8851;"+"
"b";"u";"i";"bb";"f";"f";0;"f";100;2;"-"
"a";"u";"c";"v";"f";"f";0;"f";0;0;"-"
"b";"u";"e";"z";"t";"t";1;"t";0;0;"+"
"b";"u";"q";"v";"f";"f";0;"f";160;1;"-"
